grad,F,P,R,broj_prijava,broj_obveznika
Vrnjačka Banja,23.244,1.265,988.0,"18,585","15,435"
Vršac,46.31100000000001,2.8710000000000004,1.79,"46,521","26,455"
Zaječar,45.637,2.332,7.627000000000001,"58,887","28,511"
Zrenjanin,105.76899999999999,5.809,10.094,"94,410","64,867"
Ćićevac,11.057,318.0,248.0,"12,602","5,938"
Ćuprija,25.675,922.0,2.519,"35,437","16,593"
Čajetina,21.198,1.4340000000000002,1.6800000000000002,"20,302","14,173"
Čačak,83.749,3.63,9.846,"100,957","52,899"
Čoka,15.745999999999999,593.0,396.0,"12,588","7,908"
Šabac,90.193,4.364,1.9280000000000002,"117,336","56,100"
Šid,37.027,1.412,905.0,"34,918","18,765"
Žabalj,26.75,773.0,587.0,"20,481","13,354"
Žabari,9.649,165.0,229.0,"5,211","4,319"
Žagubica,3.918,48.0,151.0,"4,435","3,820"
Žitište,23.105999999999998,272.0,480.0,"26,685","10,358"
Žitorađa,11.162,259.0,816.0,"16,297","8,633"
